Gene_ID,Pathway_category,Ref,Scenario,Detailed_questions
TAP1,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
MX1,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
PARP9,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
TRIM14,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
TRIM25,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
EIF2AK2,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
DDX60,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IFI44L,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
CASP8,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
STAT2,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IFI44,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
HLA-C,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
SAMD9,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
OAS1,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IRF9,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IFITM1,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
LGALS3BP,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
B2M,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IFI35,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
OGFR,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
PSMB8,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
PARP12,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
RSAD2,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
SAMD9L,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
PARP14,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
SLC25A28,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
SELL,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
IFIT3,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
TMEM140,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
UBA7,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
ADAR,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
TXNIP,IFNa,https://pubmed.ncbi.nlm.nih.gov/26771021/,PBM lymphoid bias,High in PBM HSC and lymphoid. Question: Does KO lead to PBM-specific reduced lymphoid differentiation?
KLF2,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
EGR1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
IL18,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
YRDC,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
IER2,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
